_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
604bb934e4ed841a35df1cd7,b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,00100,3,+
604bb934e4ed841a35df1cdd,b,42.50,4.915,y,p,w,v,3.165,t,f,0,t,g,00052,1442,+
604bb934e4ed841a35df1cfa,b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,00260,500,+
604bb934e4ed841a35df1d06,a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,00491,0,+
604bb934e4ed841a35df1d10,b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,00200,0,+
604bb934e4ed841a35df1d1c,a,38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,00980,0,-
604bb934e4ed841a35df1d29,b,37.17,4.0,u,g,c,bb,5.0,t,f,0,t,s,00280,0,-
604bb934e4ed841a35df1d48,b,37.75,7.0,u,g,q,h,11.5,t,t,7,t,g,00300,5,-
604bb934e4ed841a35df1d68,a,30.50,6.5,u,g,c,bb,4.0,t,t,7,t,g,00000,3065,+
604bb934e4ed841a35df1d74,b,27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,00140,7544,+
604bb934e4ed841a35df1da4,b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,00150,1270,+
604bb934e4ed841a35df1dbf,a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,00220,2503,+
604bb934e4ed841a35df1dc1,b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,00080,9800,+
604bb934e4ed841a35df1dca,b,45.00,8.5,u,g,cc,h,14.0,t,t,1,t,g,00088,2000,+
604bb934e4ed841a35df1dd7,a,24.50,1.75,y,p,c,v,0.165,f,f,0,f,g,00132,0,-
604bb934e4ed841a35df1df2,a,?,1.5,u,g,ff,ff,0.0,f,t,2,t,g,00200,105,-
604bb934e4ed841a35df1dff,b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,00180,173,-
604bb934e4ed841a35df1e11,b,17.50,22.0,l,gg,ff,o,0.0,f,f,0,t,p,00450,100000,+
604bb934e4ed841a35df1e15,a,18.08,0.375,l,gg,cc,ff,10.0,f,f,0,t,s,00300,0,+
604bb934e4ed841a35df1e38,b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,00168,0,-
604bb934e4ed841a35df1e50,b,43.17,5.0,u,g,i,bb,2.25,f,f,0,t,g,00141,0,-
604bb934e4ed841a35df1e52,a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,00200,456,-
604bb934e4ed841a35df1e54,b,22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,00100,1212,-
604bb934e4ed841a35df1e63,b,31.00,2.085,u,g,c,v,0.085,f,f,0,f,g,00300,0,-
604bb934e4ed841a35df1e68,b,34.00,5.085,y,p,i,bb,1.085,f,f,0,t,g,00480,0,-
